Network,score,WCut,nWCut,graph ratio,nGraph,leak + skip,nls,Baseline,RE,PFL,NFL,ACDC1,ACDC2,ACDC3,Strict Verd,Reinitz,Ultra Strong
2,0.13248213101121512,0.06725758754544832,0.10870499173746956,0.06665194666733958,0.251362025523386,0.9879653872811985,0.037379375772789825,True,7,1,1,False,False,False,False,False,False
5,0.1786598963604782,0.07477406344763887,0.12234312670409475,0.10048097353864477,0.3951013411104375,0.9940323847517706,0.018535221266902324,True,6,1,1,False,False,False,False,False,False
6,0.17203657099353697,0.09066936654528307,0.15118407448361332,0.08614786529579774,0.33420005722486673,0.9901076194727565,0.030725581272130875,True,6,1,1,False,False,False,False,False,False
7,0.2415072519861844,0.040939460881783254,0.06095253856946332,0.15164698620299286,0.6125053967952366,0.983559591728544,0.05106382059385317,True,5,2,0,False,False,False,False,False,False
8,0.4078119272335945,0.17416339047922721,0.3026783095660287,0.1732372034615194,0.7042420897814816,0.930291390898256,0.21651538235327317,True,7,2,0,False,False,False,False,False,False
9,0.292652730982451,0.2670789878497595,0.4712673496871608,0.08304687888155607,0.32102398607970684,0.9724189202073241,0.08566685718048528,True,6,1,1,False,False,False,False,False,False
11,0.3129097905470079,0.25008279249292964,0.44042890768164317,0.09438627956860451,0.36920502599327976,0.9584368076272908,0.1290954379661008,True,5,2,0,False,False,False,False,False,False
16,0.2923698635876712,0.056213591540296926,0.08866641115142274,0.17583054120052247,0.7152611650007739,0.9764384960533512,0.07318201461081697,True,7,1,1,False,False,False,False,True,False
17,0.1614041870162395,0.0849374481260275,0.14078389785340417,0.08278428642597682,0.3199082324404764,0.9924273643013106,0.023520430754837895,True,6,0,2,False,False,False,False,False,False
19,0.21812003440251507,0.06606299012769858,0.1065374758661947,0.12296617014993444,0.49064079555713197,0.9815898584404158,0.05718183178421854,True,5,1,1,False,False,False,False,False,False
22,0.17888399176780245,0.11255231781820713,0.1908892031651601,0.08224261196233698,0.31760666116055825,0.990934877059305,0.028156110977688997,True,5,0,2,False,False,False,False,False,False
25,0.195817761086976,0.11450970808034584,0.1944407548397455,0.08344078534445858,0.32269769208367555,0.9773616026499574,0.0703148363375069,True,5,0,2,False,False,False,False,False,False
27,0.31383277878845345,0.2145399763655173,0.3759388820702627,0.11643050487495468,0.46287079622769506,0.9669386412755608,0.10268865806740257,True,4,1,1,False,False,False,False,False,False
32,0.23145232731095167,0.05046528904654823,0.07823650673093684,0.13277260420870907,0.5323082702178783,0.9730160374821326,0.08381220498403985,True,7,2,0,False,False,False,False,False,False
37,0.16250567179878614,0.06867624585292814,0.11127905087378573,0.09059568972119561,0.35309883433690825,0.9925501264866865,0.02313913018566438,True,5,1,1,False,False,False,False,False,False
42,0.19530578608401203,0.12060105193223103,0.20549308450342765,0.058442790060669554,0.2164813723884723,0.9472174413139117,0.16394290136013612,True,5,1,1,False,False,False,False,False,False
48,0.27825943040098905,0.04302142249919703,0.0647301165066649,0.17160121922960375,0.6972908033994831,0.976575212715864,0.07275737129681914,True,6,1,1,False,False,False,False,False,False
49,0.13991646854436246,0.06091444634275421,0.09719579288412232,0.07902542530618323,0.3039368559417866,0.994006133857019,0.018616756807178447,True,5,0,2,False,False,False,False,False,False
52,0.30218436920681374,0.06298201534863201,0.10094725640531246,0.18117174130013464,0.7379558895535208,0.9782195762944114,0.06764996166160808,True,5,1,1,False,False,False,False,False,False
57,0.228918403351267,0.18691642116800655,0.32581781749904787,0.07820802843050388,0.30046374192286684,0.9805300360633417,0.060473650631886366,True,4,0,2,False,False,False,False,False,False
58,0.21299027029300407,0.11371842009081565,0.19300501653111374,0.08181598915781656,0.31579394363342156,0.9580902495782337,0.1301718507144769,True,4,0,2,False,False,False,False,False,False
60,0.35927570781226087,0.06590780247328848,0.10625589840841532,0.19494896550433127,0.79649522576719,0.9436330684101476,0.17507599926117734,True,4,1,1,False,False,False,False,False,False
62,0.18039921543294413,0.045796222651348875,0.06976480290397381,0.08883706995238548,0.34562647035469024,0.9594957433614435,0.12580637304016828,True,3,0,2,False,False,False,False,False,False
68,0.2746154852906147,0.05241907702721563,0.08178152231047811,0.15417402221742893,0.6232427564172179,0.9617443504200354,0.118822177144148,True,6,2,0,False,False,False,False,False,False
71,0.26304231710454623,0.08916469346999667,0.14845394739367979,0.13714867767378508,0.5509021779652582,0.9710976209065414,0.08977082595470065,True,4,2,0,False,False,False,False,False,False
72,0.31179906713310745,0.08719110426541898,0.14487300383835477,0.1475794935129321,0.595222646757854,0.9371213212257614,0.19530155080311362,True,6,2,0,False,False,False,False,False,False
74,0.13898786304429803,0.05548594024222013,0.08734613729690013,0.06144147619460591,0.22922277030666086,0.9676772018647171,0.10039468152933306,True,5,1,1,False,False,False,False,False,False
77,0.2781295705128028,0.19202751820401076,0.3350915558987451,0.0919446314846743,0.35883047913375243,0.9547757638040327,0.14046667650591094,True,4,1,1,False,False,False,False,False,False
80,0.27727286569040244,0.06741202038801046,0.10898519964042155,0.15844173660754912,0.641376247158485,0.9737742625844961,0.08145715027230083,True,6,1,1,False,False,False,False,False,False
82,0.15211966010780734,0.07944229517129603,0.13081331607623967,0.07555401847121242,0.28918687083340133,0.9882939703751592,0.03635879341378101,True,5,0,2,False,False,False,False,False,False
87,0.23070392861889336,0.06903249398300342,0.1119254389075927,0.12927717187482243,0.5174562009205527,0.9798035427701803,0.06273014602853477,True,3,1,1,False,False,False,False,False,False
